Medio de Transporte;FALLECIDOS;AÑO
Motocicleta;1347;2016
Peatón Atropellado;324;2016
Automóvil;103;2016
Camión;72;2016
Jeepeta;51;2016
Camioneta;44;2016
Vehículo No Espeíficado;28;2016
Minibús;14;2016
Autobús;7;2016
Bicicleta;3;2016
Animal No Especificado;0;2016
Caballo;0;2016
Carreta;0;2016
FourWheel;0;2016
Montacargas;0;2016
Triciclo;0;2016
Rodillo;0;2016
Silla de Ruedas;0;2016
Excavadora;0;2016
Motocicleta;1066;2017
Peatón Atropellado;272;2017
Automóvil;95;2017
Camión;47;2017
Jeepeta;39;2017
Camioneta;31;2017
Vehículo No Espeíficado;17;2017
Minibús;6;2017
Autobús;7;2017
Bicicleta;4;2017
Animal No Especificado;0;2017
Caballo;0;2017
Carreta;1;2017
FourWheel;1;2017
Montacargas;0;2017
Triciclo;2;2017
Rodillo;0;2017
Silla de Ruedas;0;2017
Excavadora;0;2017
Motocicleta;974;2018
Peatón Atropellado;241;2018
Automóvil;93;2018
Camión;28;2018
Jeepeta;26;2018
Camioneta;20;2018
Vehículo No Espeíficado;26;2018
Minibús;5;2018
Autobús;7;2018
Bicicleta;0;2018
Animal No Especificado;1;2018
Caballo;4;2018
Carreta;0;2018
FourWheel;1;2018
Montacargas;1;2018
Triciclo;0;2018
Rodillo;0;2018
Silla de Ruedas;0;2018
Excavadora;0;2018
Motocicleta;1403;2019
Peatón Atropellado;308;2019
Carro;185;2019
Camión;55;2019
Jeepeta;54;2019
Camioneta;32;2019
Autobús;20;2019
Minibús;14;2019
Bicicleta;9;2019
Vehículo;6;2019
Triciclo;2;2019
Buggy;1;2019
Carro de Golf;1;2019
Excavadora;1;2019
Rodillo;1;2019
Silla de Ruedas;1;2019
Sin Especificación;1;2019
Vehículo Agricola;1;2019
Motocicleta;1234;2020
Peatón;217;2020
Carro;111;2020
Jeepeta;50;2020
Camión;40;2020
Vehículo No Especificado;40;2020
Camioneta;20;2020
Bicicleta;8;2020
Minibus;8;2020
Ambulancia;2;2020
Autobús;1;2020
Buggy;1;2020
Motocicleta;1301;2021
Peatón;223;2021
Carro;132;2021
Jeepeta;57;2021
Camión;42;2021
Camioneta;38;2021
Vehículo;37;2021
Autobús;14;2021
Bicicleta;10;2021
Fourweells;4;2021
Minibús;4;2021
Ambulancia;1;2021
Animal ;1;2021
Bugui;1;2021
Furgoneta;1;2021
Tractor;1;2021
Ambulancia;1;2022
Autobús;9;2022
Bicicleta;8;2022
Buggi;1;2022
Camión;37;2022
Camioneta;22;2022
Carro;130;2022
Carro de Golf;1;2022
Four Wheel;2;2022
Furgoneta;1;2022
Greda;1;2022
Jeepeta;41;2022
Minibús;4;2022
Motocicleta;1223;2022
Peatón;274;2022
Tractor;1;2022
Vehículo;38;2022
Autobús;13;2023
Bicicleta;2;2023
Camión;32;2023
Camioneta;13;2023
Carro;74;2023
Furgoneta;1;2023
Jeepeta;56;2023
Minibús;6;2023
Motocicleta;876;2023
Peatón;180;2023
Tractor;2;2023
Vehículo;20;2023
